"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101096354";"0";"0";"0";"0";"0"
"101192566";"40";"0";"0";"40";"40"
"101084321";"0";"0";"0";"100";"0"
"101080029";"0";"0";"40";"100";"0"
"101172819";"0";"0";"0";"100";"100"
"101121182";"0";"0";"0";"0";"0"
"101070776";"0";"0";"0";"0";"0"
"101061342";"0";"0";"0";"0";"0"
"101114805";"0";"0";"0";"0";"40"
"101138047";"0";"0";"40";"100";"100"
"101114683";"0";"0";"40";"40";"40"
"101121129";"40";"0";"0";"0";"0"
"101147000";"40";"0";"40";"100";"40"
"101167442";"100";"0";"0";"0";"100"
"101114765";"100";"0";"0";"0";"40"
"101070786";"0";"0";"0";"0";"0"
"101122276";"0";"0";"0";"100";"0"
"101075412";"0";"0";"0";"100";"0"
"101137575";"0";"0";"40";"100";"0"
"101121135";"40";"0";"0";"100";"40"
"101114676";"0";"0";"0";"0";"0"
"101069287";"0";"0";"0";"100";"0"
"101114735";"0";"0";"0";"0";"40"
"101073879";"0";"0";"0";"0";"0"
"101166998";"100";"0";"0";"0";"100"
"101192615";"0";"0";"0";"100";"0"
"101178267";"0";"0";"0";"0";"0"
"101178889";"0";"0";"0";"0";"0"
"101178789";"40";"0";"0";"0";"0"
"101075602";"0";"0";"0";"100";"0"
"101101540";"0";"0";"40";"100";"0"
"101160662";"0";"0";"0";"100";"0"
"101132439";"0";"0";"0";"0";"0"
"101073945";"0";"0";"0";"0";"0"
"101132692";"0";"0";"0";"0";"0"
"101112054";"0";"0";"40";"100";"0"
"101075714";"0";"0";"0";"40";"40"
"101132652";"0";"0";"0";"0";"0"
"101079888";"0";"0";"0";"100";"0"
"101188256";"0";"0";"40";"100";"100"
"101192425";"0";"0";"40";"100";"0"
"101167904";"40";"0";"0";"0";"100"
"101061330";"0";"0";"0";"0";"0"
"101070586";"0";"0";"0";"0";"0"
"101094036";"0";"0";"0";"0";"40"
"101095862";"0";"0";"0";"0";"0"
"101114732";"40";"0";"0";"40";"40"
"101114697";"0";"0";"40";"40";"40"
"101114729";"0";"0";"0";"0";"100"
"101114799";"0";"0";"0";"0";"40"
"101114760";"0";"0";"40";"40";"100"
"101114748";"0";"0";"0";"0";"40"
"101114844";"0";"0";"0";"0";"100"
"101071977";"0";"0";"0";"0";"0"
"101168467";"0";"0";"0";"0";"100"
"101119547";"0";"0";"0";"0";"100"
"101084323";"0";"0";"0";"100";"0"
"101160594";"40";"0";"0";"100";"40"
"101148170";"40";"0";"40";"100";"0"
"101137610";"0";"0";"40";"100";"0"
"101075660";"0";"0";"0";"100";"100"
"101167787";"0";"0";"0";"100";"0"
"101136142";"0";"0";"40";"100";"0"
"101119602";"40";"0";"0";"0";"100"
"101121210";"100";"0";"40";"100";"40"
"101061123";"0";"0";"0";"0";"0"
"101094998";"40";"0";"0";"40";"0"
"101058398";"0";"0";"0";"0";"0"
"101059986";"0";"0";"0";"0";"0"
"101112056";"0";"0";"100";"100";"0"
"101073472";"0";"0";"0";"0";"0"
"101060660";"0";"0";"0";"0";"0"
"101121338";"40";"0";"0";"0";"0"
"101069770";"0";"0";"0";"40";"0"
"101094741";"0";"0";"0";"0";"40"
"101057802";"0";"0";"0";"0";"0"
"101094526";"0";"0";"0";"0";"0"
"101084362";"0";"0";"0";"40";"0"
"101073913";"0";"0";"0";"0";"0"
"101073921";"0";"0";"0";"0";"0"
"101137798";"0";"0";"40";"100";"0"
"101172835";"0";"0";"0";"100";"0"
"101121249";"0";"0";"0";"0";"0"
"101096139";"0";"0";"0";"100";"0"
"101192831";"0";"0";"0";"100";"0"
"101100494";"0";"0";"0";"0";"0"
"101096946";"0";"0";"0";"40";"0"
