ID,Name,Count
12646334800,Perdrix S.,3
12646598700,Sasaki C.,1
12646800400,Mounet N.,1
12647332700,Cieri L.,1
12647366900,Knyazev G.A.,1
12647591300,Li H.-R.,1
12647592500,De Gruttola D.,1
12751972600,Gu M.,5
12752082300,Jokela N.,1
12752135900,Addasi J.S.,1
12752351000,Ansari K.,2
12752452000,Shaw M.D.,3
12752945300,Wu K.,1
12752997200,Corboz P.,2
12753037900,Pradhan B.,1
12753225500,Alvi P.A.,1
12753248500,Maskey M.,1
12753969100,Stengel M.,1
12754090200,Lehum A.C.,1
12755754700,Da Vià C.,1
12759394200,Leiviskä T.,1
12759783900,Alese B.K.,2
12760494400,Baumbach J.,1
12761242200,Abouelaoualim D.,1
12761671600,Caton S.,1
12763109300,Basu S.,4
12764357700,Fodor S.,1
12764959500,Paraïso T.K.,1
12766298800,Murthy S.,3
12766373300,Kurpas M.,2
12766409700,Danon J.,2
12767784400,Dinca N.,1
12767798900,Lin H.,3
12768616200,Ryu J.-W.,1
12770699100,Chen C.-T.,1
12778267100,Pawłowski M.,1
12778386600,Shao L.,2
12778448300,Kusumaatmaja H.,1
12778688800,Rai P.,1
12778822300,Sensarma R.,1
12778911000,Pidko E.A.,1
12780222300,Rizzi M.,1
12780229400,Hassler F.,2
12780854300,Ho J.,1
12781020000,Butera R.E.,3
12781511800,Smith D.,1
12781607400,Donaire M.,1
12782018100,Zarea M.,1
12782252600,Fan D.-R.,1
12782544700,Schifano F.S.,1
12782845900,Saha S.,1
12783256800,Snider J.,1
12784593200,Dan Y.,3
12784887500,Grossan B.,1
12785050000,Gregor M.,1
12785174400,Clark B.K.,5
12785734200,Plecenik T.,1
12785825600,Inerbaev T.,1
12786633400,Bharadwaj P.,1
12787897300,Siwak N.P.,1
12787928000,Margine E.R.,1
12789801800,Malarkodi B.,1
12789920100,Lee H.,2
12790681700,Al-Majdi K.,1
12791028600,Zhao J.,1
12791192700,Garcia-Hernandez M.,1
12791370000,Dohler M.,4
12791841700,Yang J.,1
12792379800,Möller S.,1
12792501500,Kundys D.,1
12794181300,Walewski L.,1
12794245400,Chen R.,1
12794600300,Dutta M.,1
12795085000,Levine R.D.,5
12795933000,Krovi H.K.,3
12795953000,Li P.-B.,1
12797217700,Zentner L.,1
12797499200,Straupe S.S.,6
12797537000,Kovalenko M.V.,1
12797903200,Gorbach D.,1
12797905900,Goswami P.,2
12798043300,Na-Phattalung S.,1
12798772100,Barone C.,2
12799253800,Galdi A.,1
12799278200,Pollanen J.,3
12799493800,Harnik R.,2
12800008400,Tachikawa Y.,1
12800216400,Schönherr G.,1
12800603000,Ke S.,1
12800779800,Klochan O.,1
12801982700,Churchill H.O.H.,1
12802785600,Chen Y.,3
12802866400,Chen Y.-A.,6
12803305500,Shi J.,1
12804915200,Vorberger J.,1
12805435800,Agha I.,1
12805612500,Muralidharan B.,4
12806559200,Viel A.,1
12807069700,Stubbs J.E.,1
12807673300,Qiao G.,1
12808989000,Yaji K.,1
12902561600,Young B.A.,1
12902575500,Figueroa-Feliciano E.,1
12902591700,Gao J.R.,1
13002635000,Richard M.-I.,1
13002873300,Mates J.A.B.,1
13002917000,O’Neil G.C.,1
13003103600,Ro W.W.,1
13003124400,Bogorin D.F.,2
13003445400,Sheldon S.,5
13003478000,Sarris J.,1
13003502300,Masiello D.J.,1
13003860200,Zhu H.X.,1
13004409000,Malik M.,1
13004722900,Dragoman D.,3
13005140900,Stolyarov V.S.,4
13006909600,Chen X.,3
13007974200,Mukherjee M.,1
13102965300,Soares-Pinto D.O.,2
13103035200,Schwartzentruber T.E.,1
13103618800,Lombardini R.,1
13104108400,Carette J.,1
13104345300,Chen H.,1
13104453400,Sadiek G.,1
13104554400,Hajjdiab H.,1
13104879700,Cherkez V.,1
13105221900,Ensslin K.,3
13105491400,Nuntawong N.,1
13105562400,Bahk J.-H.,1
13105598300,Marpaung D.,1
13204394500,Pasupa K.,1
13204479700,Wang T.,1
13204668300,Yan B.,1
13205568300,Mastorakis G.,1
13307626700,Burin A.L.,1
13307857300,Chang W.-L.,1
13309981200,Yang D.-Y.,1
13310000100,Ionescu A.M.,2
13310093900,Dobson P.J.,1
13310129900,Pederson M.R.,2
13310373400,Pedersen A.G.,1
13310377000,Zheng S.-B.,3
13402763600,Neitzke A.,1
13403452200,Wei Z.,2
13403466100,Xing L.,1
13403565600,Shan C.-J.,1
13404132100,Grace M.D.,2
13404229400,Iannucci L.,1
13404901600,Kusmartseva A.,1
13404913300,Matano K.,1
13404915100,Gao W.,4
13404930500,Kaczorowski D.,2
13405156500,Song H.-S.,1
13405477300,Zhu C.,1
